VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2006,2006,12.51,E; B,Estimated value; Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2007,2007,12.91,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2008,2008,13.31,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2009,2009,13.49,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2010,2010,12.94,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2011,2011,13.11,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2012,2012,13,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2013,2013,13,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2014,2014,12.9,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2015,2015,12.89,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CAN,Canada,2016,2016,12.89,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2005,2005,12.71,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2006,2006,12.62,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2007,2007,12.58,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2008,2008,12.55,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2009,2009,12.85,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2010,2010,12.89,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2011,2011,12.8,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2012,2012,12.84,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2013,2013,12.74,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2014,2014,12.73,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2015,2015,13.04,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CZE,Czech Republic,2016,2016,13.38,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2001,2001,16.83,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2002,2002,17.09,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2003,2003,16.96,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2004,2004,17.14,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2005,2005,17.15,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2006,2006,17.45,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2007,2007,17.42,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2008,2008,17.4,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2009,2009,18.51,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2010,2010,18.71,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2011,2011,18.41,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2012,2012,18.47,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2013,2013,18.85,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2014,2014,18.97,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DNK,Denmark,2015,2015,18.74,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2000,2000,16.66,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2001,2001,17.05,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2002,2002,17.97,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2003,2003,17.84,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2004,2004,18.11,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2005,2005,18.19,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2006,2006,18.3,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2007,2007,18.4,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2008,2008,18.49,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2009,2009,18.6,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2010,2010,18.67,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2011,2011,17.34,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2012,2012,17.56,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2013,2013,17.45,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2014,2014,17.48,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),FRA,France,2015,2015,17.4,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2000,2000,11.57,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2001,2001,11.55,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2002,2002,11.53,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2003,2003,11.38,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2004,2004,11.11,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2005,2005,10.97,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2006,2006,10.93,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2007,2007,10.95,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2008,2008,11.05,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2009,2009,11.21,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2010,2010,11.32,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2011,2011,11.64,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2012,2012,11.76,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2013,2013,11.89,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),DEU,Germany,2014,2014,11.95,,
