VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2013,2013,7.52,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2014,2014,7.61,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2015,2015,7.62,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),SVK,Slovak Republic,2016,2016,7.63,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2000,2000,16.02,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2001,2001,16.12,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2002,2002,16.47,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2003,2003,16.82,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2004,2004,16.7,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2005,2005,16.9,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2006,2006,17.13,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2007,2007,17.35,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2008,2008,17.39,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2009,2009,17.76,E,Estimated value
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2010,2010,17.8,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2011,2011,17.86,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2012,2012,18.02,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2013,2013,18.34,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2014,2014,18.62,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2015,2015,19.04,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHE,Switzerland,2016,2016,19.34,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2000,2000,16.12,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2001,2001,16.26,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2002,2002,16.37,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2003,2003,16.37,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2004,2004,16.38,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2005,2005,16.56,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2006,2006,16.82,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2007,2007,17.05,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2008,2008,17.19,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2009,2009,17.26,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2010,2010,17.15,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2011,2011,17.06,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2012,2012,17.13,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2013,2013,17.14,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2014,2014,17.11,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),USA,United States,2015,2015,17.22,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHL,Chile,2010,2010,4.6,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHL,Chile,2011,2011,4.87,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHL,Chile,2012,2012,4.93,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHL,Chile,2013,2013,5.17,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHL,Chile,2014,2014,5.38,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHL,Chile,2015,2015,5.42,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHL,Chile,2016,2016,5.8,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),CHL,Chile,2017,2017,6.02,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2006,2006,12.78,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2007,2007,13.15,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2008,2008,13.39,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2009,2009,13.17,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2010,2010,13.1,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2011,2011,13.25,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2012,2012,13.8,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2013,2013,9.68,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2014,2014,9.88,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2015,2015,9.92,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),EST,Estonia,2016,2016,9.72,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2000,2000,11.93,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2001,2001,12.1,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2002,2002,11.7,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2003,2003,11.63,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2004,2004,11.65,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2005,2005,11.08,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2006,2006,10.73,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2007,2007,11.7,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2008,2008,11.22,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2009,2009,10.95,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2010,2010,10.93,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2011,2011,10.8,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2012,2012,10.45,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2013,2013,9.95,B,Break
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2014,2014,10.27,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2015,2015,9.74,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2016,2016,9.81,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),ISR,Israel,2017,2017,10.13,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2000,2000,15.06,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2001,2001,14.59,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2002,2002,14.42,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2003,2003,14.1,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2004,2004,14.03,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2005,2005,14.15,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2006,2006,14.34,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2007,2007,14.62,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2008,2008,15.32,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2009,2009,14.85,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2010,2010,14.88,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2011,2011,15.51,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2012,2012,15.86,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2013,2013,15.83,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2014,2014,15.74,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2015,2015,15.81,,
HOEMHEMP,Total hospital employment,DENSEFEF,Density per 1 000 population (FTE),LTU,Lithuania,2016,2016,16.03,,
